Resultado,numero 1,numero 2,numero 3,numero 4,numero 5,numero 6,numero 7,numero 8,numero 9,numero 10,numero 11,numero 12,numero 13,numero 14,numero 15
perde,01,03,04,05,06,09,10,12,13,15,16,17,19,20,23
perde,01,04,05,08,09,10,13,15,16,17,18,19,21,24,25
perde,01,03,05,06,07,09,12,13,15,16,19,20,21,22,24
perde,01,03,04,08,09,10,11,12,15,17,19,21,22,23,25
perde,02,03,04,05,06,07,08,11,12,13,15,16,20,21,24
perde,01,04,05,06,07,08,09,12,15,18,19,22,23,24,25
perde,01,02,04,05,06,07,10,11,12,14,15,17,18,23,25
vence,1,2,3,5,7,9,10,11,12,15,16,18,20,22,24
perde,01,04,06,08,09,10,11,13,14,15,18,19,20,21,23
perde,05,06,08,09,12,14,15,16,17,18,19,20,23,24,25
perde,01,02,04,06,07,09,11,14,16,17,18,20,23,24,25
perde,01,02,03,08,09,11,12,14,15,18,19,21,22,24,25
perde,01,02,05,07,08,12,13,15,18,19,20,21,22,23,25
vence,1,3,4,5,7,9,10,11,14,15,16,17,22,23,25
perde,01,02,03,05,06,08,09,10,12,15,17,18,19,20,23
perde,03,04,06,07,08,09,11,12,16,17,20,21,22,24,25
vence,2,3,8,9,10,11,12,13,14,17,18,22,23,24,25
perde,01,02,04,05,06,07,09,10,13,14,16,18,19,20,21
perde,02,04,06,07,08,10,11,12,13,15,16,19,20,22,24
vence,3,4,7,8,11,12,13,15,16,17,19,20,21,22,24
vence,2,3,4,5,7,8,12,13,16,17,18,19,21,22,23
perde,01,04,05,06,07,09,10,15,16,17,18,19,20,22,25
perde,02,03,04,05,06,08,09,10,12,17,20,21,22,23,25
vence,1,2,3,4,6,9,12,15,17,18,19,21,23,24,25
perde,01,05,06,08,10,12,13,14,16,17,18,19,20,23,24
perde,01,02,04,08,09,14,16,17,18,19,20,21,22,24,25
perde,02,04,05,06,08,10,11,13,15,16,19,20,23,24,25
vence,3,4,6,7,8,9,10,11,12,14,16,18,21,22,23
perde,01,03,04,05,08,09,11,13,14,15,19,20,21,23,25
perde,01,02,03,04,05,09,10,11,12,13,16,17,19,23,24
perde,01,02,03,04,05,06,07,09,10,15,18,22,23,24,25
perde,01,04,07,08,09,10,11,12,13,14,15,17,19,21,24
perde,02,04,06,07,11,12,13,14,15,16,18,20,21,24,25
perde,02,04,05,06,07,09,10,12,13,14,16,18,22,23,24
perde,01,02,03,08,09,10,11,14,15,16,20,21,23,24,25
vence,1,2,4,6,7,8,10,12,13,14,15,16,21,22,25
vence,1,2,4,7,8,9,10,11,15,16,18,19,20,21,23
vence,2,3,4,6,10,11,12,14,19,20,21,22,23,24,25
perde,01,02,03,04,05,06,07,08,12,13,14,18,19,20,22
perde,01,02,05,06,07,09,10,11,13,15,16,17,19,23,25
perde,01,02,03,05,06,08,09,11,12,13,17,18,19,23,24
perde,01,02,03,04,06,08,09,12,13,14,15,16,17,22,24
perde,01,03,06,07,08,09,11,13,14,15,19,20,22,23,25
vence,1,2,3,4,6,9,10,12,13,14,15,17,19,20,22
perde,01,03,04,07,08,09,12,14,15,16,17,18,20,22,25
vence,1,3,4,5,7,8,9,10,13,14,16,18,19,24,25
perde,01,04,05,06,07,10,11,12,13,14,15,16,20,23,24
vence,1,3,4,7,9,11,13,15,18,19,20,21,23,24,25
perde,03,07,08,09,10,11,12,13,15,16,17,19,22,23,24
perde,01,02,03,04,05,06,08,10,12,16,17,18,21,22,25
perde,01,02,03,07,08,09,10,11,13,15,17,19,23,24,25
perde,01,02,06,07,09,10,12,13,14,15,17,19,20,21,25
perde,01,02,03,04,08,09,10,11,13,15,16,17,18,24,25
perde,01,02,04,06,07,11,13,14,15,17,18,19,20,21,22
perde,01,02,04,06,07,09,11,13,14,18,19,21,22,23,25
perde,01,02,03,05,06,08,09,10,12,13,14,19,22,23,25
vence,2,3,4,5,6,10,11,12,16,19,20,21,22,24,25
perde,02,03,05,06,08,11,14,15,16,17,19,20,22,23,25
perde,01,02,03,04,06,07,13,14,15,17,20,22,23,24,25
vence,2,3,4,6,8,9,10,14,16,19,20,21,23,24,25
perde,01,03,04,07,09,11,12,13,14,17,18,19,21,22,23
perde,01,05,06,07,08,09,10,11,12,15,16,19,20,21,23
vence,2,4,5,6,8,9,10,13,16,18,19,21,22,23,24
perde,01,02,05,06,07,09,11,13,14,15,17,20,23,24,25
perde,01,06,07,08,10,12,13,14,16,17,18,20,21,22,23
perde,01,02,04,05,08,09,11,14,15,16,17,18,22,23,24
perde,02,03,04,07,08,10,11,14,16,17,19,20,21,22,24
perde,01,02,03,04,08,10,11,12,13,14,17,19,21,22,24
perde,01,04,05,07,08,10,12,13,14,16,19,20,22,24,25
perde,03,04,08,09,10,13,14,15,16,17,18,19,20,21,24
perde,01,02,03,04,05,06,08,09,10,12,14,18,19,21,25
vence,1,5,7,8,9,10,13,14,15,16,17,18,20,23,24
perde,02,03,05,07,08,09,10,15,16,17,20,22,23,24,25
vence,1,2,3,7,8,10,11,14,15,16,18,19,22,23,25
perde,01,03,06,08,09,13,14,15,17,18,19,20,21,22,24
vence,4,6,7,9,10,12,15,16,17,18,19,20,21,22,24
perde,02,04,06,07,08,09,13,15,16,18,19,20,21,23,24
perde,02,03,05,06,07,08,10,11,13,14,17,21,22,23,24
perde,02,04,05,07,09,10,11,13,14,16,18,19,21,22,24
vence,3,5,6,7,9,10,11,13,15,16,17,18,19,21,24
perde,03,04,05,06,07,08,12,13,14,16,18,19,20,23,25
perde,01,02,04,06,10,12,13,14,15,16,19,20,23,24,25
perde,02,03,04,06,10,11,12,13,14,15,16,17,19,22,24
vence,1,2,3,4,5,8,9,10,11,12,15,20,22,23,25
perde,04,05,06,09,12,13,14,15,16,17,18,20,22,23,25
perde,01,02,03,05,06,07,11,12,13,14,15,17,20,21,23
perde,01,03,04,05,09,12,13,14,15,17,18,19,22,24,25
vence,1,4,5,6,7,8,11,13,14,16,17,18,20,24,25
perde,01,02,05,06,08,09,12,16,18,19,20,22,23,24,25
perde,01,02,05,07,08,10,12,13,16,17,20,21,22,24,25
perde,02,05,08,09,14,15,16,17,18,19,20,21,23,24,25
perde,01,02,03,06,07,08,10,11,12,13,14,15,20,23,24
perde,01,02,06,07,09,10,11,13,14,16,18,19,20,21,24
perde,02,04,06,07,09,10,12,14,15,16,20,21,22,23,24
perde,01,04,07,10,11,14,16,18,19,20,21,22,23,24,25
vence,2,3,4,5,7,8,10,12,15,16,17,18,19,24,25
perde,01,02,03,04,05,10,11,14,15,17,19,20,22,23,25
perde,02,03,04,05,06,08,09,10,11,14,19,21,22,23,24
perde,03,05,06,07,08,09,10,11,13,15,16,18,20,23,24
perde,01,03,06,07,08,09,11,12,13,14,15,18,20,23,25
perde,01,02,03,04,05,06,07,09,13,16,17,18,22,24,25
perde,01,02,03,05,06,08,09,12,15,16,18,19,20,21,24
perde,01,03,04,05,08,10,11,12,13,15,16,17,21,22,24
perde,01,02,03,04,12,14,15,16,17,18,19,20,22,23,25
perde,01,03,04,07,08,09,11,12,13,15,18,21,22,23,24
perde,02,04,05,07,08,10,11,12,15,17,19,22,23,24,25
perde,03,04,06,07,08,10,14,15,16,18,19,20,23,24,25
vence,1,4,5,6,7,8,9,11,14,16,17,19,21,23,25
perde,01,02,03,04,06,08,10,12,13,14,17,18,19,23,25
perde,01,03,04,06,07,08,09,10,11,12,14,15,17,19,25
perde,01,02,04,05,06,07,09,10,13,15,18,20,21,22,23
perde,01,02,05,07,09,10,11,12,13,16,17,18,19,21,24
perde,02,04,05,06,07,09,10,11,13,14,17,18,21,22,23
perde,04,06,07,08,09,10,11,13,14,15,17,20,22,23,24
perde,01,02,03,07,08,09,11,13,15,16,17,19,23,24,25
perde,02,04,05,06,07,09,10,11,13,16,17,18,21,22,24
perde,01,06,08,09,10,11,13,15,16,17,18,21,23,24,25
perde,02,04,08,09,11,12,13,14,15,17,18,20,21,22,25
perde,04,06,07,08,10,11,14,15,16,18,20,22,23,24,25
perde,02,03,04,05,06,07,09,11,14,15,17,19,23,24,25
perde,05,06,09,10,11,12,13,14,15,16,21,22,23,24,25
perde,01,02,03,04,08,09,11,12,13,17,19,21,23,24,25
perde,01,02,03,08,09,10,12,14,15,17,18,19,21,22,25
perde,01,02,03,04,06,08,09,10,13,14,17,19,21,22,25
perde,02,03,04,06,07,09,10,11,13,18,19,20,23,24,25
perde,01,03,04,06,07,10,13,14,15,16,19,20,22,24,25
vence,1,4,6,9,12,13,14,16,17,18,19,20,21,24,25
perde,01,02,03,07,08,09,11,14,15,18,20,22,23,24,25
perde,01,02,03,05,06,09,10,18,19,20,21,22,23,24,25
perde,01,04,07,08,10,13,14,15,16,17,18,20,21,22,23
vence,3,4,6,7,8,9,12,13,14,15,17,20,21,23,24
perde,02,03,04,05,07,08,09,10,15,16,18,20,21,23,25
vence,2,3,6,7,9,11,13,14,17,18,19,20,22,23,25
perde,05,06,08,10,11,12,13,14,15,17,18,19,20,22,23
perde,01,02,03,05,06,07,12,14,15,20,21,22,23,24,25
perde,01,03,04,05,08,09,11,13,16,17,19,20,21,22,23
perde,02,03,06,07,11,12,13,14,16,17,18,19,20,21,25
perde,01,02,04,07,10,11,13,14,15,17,19,20,21,24,25
perde,01,02,03,05,07,08,10,11,12,14,16,20,21,24,25
perde,02,04,05,07,08,09,12,14,15,16,18,21,22,23,25
perde,02,03,04,05,06,10,11,13,14,15,16,17,20,22,25
perde,02,05,07,08,09,11,13,14,15,16,17,19,22,24,25
perde,01,03,07,09,10,11,13,14,16,17,19,20,22,23,24
perde,02,03,04,06,07,08,09,10,11,12,13,15,17,18,19
perde,01,02,03,04,05,06,08,10,12,13,14,17,18,19,23
perde,01,02,03,06,07,09,10,11,13,16,19,20,22,23,24
perde,03,04,05,06,07,08,11,12,15,16,18,19,22,23,25
perde,01,05,06,07,09,10,11,13,14,15,16,18,20,24,25
perde,01,02,03,04,06,07,09,10,11,16,19,20,21,22,24
perde,03,04,05,07,09,11,14,15,17,18,19,20,21,22,25
vence,1,3,5,7,8,11,12,14,15,16,18,20,21,23,25
vence,1,2,4,5,7,8,11,12,13,14,15,16,19,22,23
perde,03,04,05,07,08,09,10,12,13,15,16,17,19,20,23
perde,01,02,04,05,06,10,11,12,15,17,18,19,21,24,25
vence,1,2,4,6,7,9,10,11,12,16,17,19,23,24,25
perde,02,03,04,05,06,07,08,09,12,15,16,17,18,19,24
perde,02,03,04,05,06,08,09,10,16,17,21,22,23,24,25
perde,03,04,06,07,08,09,10,11,14,16,17,18,19,20,23
perde,05,06,08,10,11,12,13,14,15,16,18,19,21,24,25
vence,1,2,4,5,8,9,12,13,14,15,16,19,21,23,25
perde,01,02,03,04,06,09,10,11,13,15,18,20,21,23,25
perde,01,02,06,08,09,10,11,13,16,17,20,21,22,24,25
perde,01,02,04,05,06,08,10,13,14,17,19,20,22,23,24
perde,04,05,06,11,12,13,15,16,17,18,19,20,22,23,25
perde,01,02,03,05,06,07,08,09,11,13,15,16,23,24,25
perde,01,02,03,05,07,09,10,11,12,14,15,16,19,20,23
vence,2,3,8,10,12,13,14,16,17,18,20,21,22,24,25
perde,02,04,06,07,08,09,10,12,13,14,16,17,20,22,23
perde,02,03,05,06,07,08,09,10,11,13,14,16,18,20,23
perde,01,02,03,04,05,06,08,09,13,16,17,20,21,22,25
perde,01,02,03,05,07,08,09,15,16,19,20,21,23,24,25
perde,01,03,04,07,08,10,12,13,15,16,19,21,22,23,24
perde,03,04,05,07,08,10,11,12,13,14,16,21,22,23,24
perde,05,06,08,09,10,12,15,16,17,18,19,20,21,22,24
perde,01,02,03,04,08,11,12,17,19,20,21,22,23,24,25
perde,01,02,03,05,06,07,09,14,15,16,17,18,20,21,25
perde,01,02,03,05,06,08,09,10,11,12,13,15,16,19,21
perde,01,02,04,07,08,09,15,16,18,19,20,21,22,24,25
perde,01,02,04,07,08,09,10,11,13,14,15,17,19,21,22
perde,01,02,04,05,06,07,08,09,11,14,15,18,22,23,24
perde,01,03,04,05,08,09,10,13,14,18,20,22,23,24,25
perde,01,02,04,05,06,08,10,11,12,14,15,17,20,22,23
perde,02,06,07,08,09,11,12,13,15,16,17,21,22,24,25
perde,01,02,03,05,06,09,15,16,17,18,20,21,22,24,25
vence,1,2,4,5,6,11,13,14,15,16,18,20,22,23,25
perde,02,03,04,05,06,07,10,13,14,16,20,22,23,24,25
perde,01,02,03,08,09,10,11,13,15,16,18,19,22,24,25
perde,03,06,07,09,10,11,13,14,15,17,19,21,22,23,25
perde,02,06,07,08,09,10,11,12,14,15,16,17,19,21,25
perde,01,02,03,04,06,08,09,12,13,15,16,17,18,22,23
perde,03,04,05,06,07,08,10,12,17,18,19,20,21,23,25
perde,02,05,08,09,11,12,15,16,17,18,19,20,21,22,25
perde,01,03,06,07,08,11,12,13,14,15,20,21,22,23,24
perde,03,04,05,06,07,12,13,15,16,17,18,20,22,24,25
perde,02,05,07,08,09,10,11,13,14,15,16,17,21,23,25
perde,03,04,05,08,10,11,12,14,16,19,20,21,22,23,25
perde,02,04,05,06,07,08,11,12,15,17,18,21,23,24,25
vence,1,2,3,4,5,7,9,11,13,15,18,19,20,21,22
perde,01,02,03,07,08,09,10,13,14,16,17,20,21,23,25
perde,02,03,05,06,07,08,09,16,17,18,21,22,23,24,25
perde,01,02,04,05,08,10,11,13,14,17,19,20,21,23,25
perde,01,02,03,04,06,09,11,13,14,15,16,18,19,22,24
perde,05,06,07,09,10,11,12,14,15,16,17,19,20,22,24
perde,01,03,04,05,06,07,08,10,12,16,17,18,22,23,25
vence,1,2,3,4,5,7,8,10,12,17,18,20,21,22,23
perde,01,03,06,07,08,09,10,11,13,14,17,19,20,21,22
vence,1,2,3,4,8,10,11,13,15,16,18,19,21,22,25
perde,02,03,05,06,08,09,10,12,15,16,17,19,20,24,25
perde,01,02,03,04,07,09,12,13,14,16,20,21,22,24,25
perde,01,02,03,04,05,08,09,10,12,13,14,15,17,23,25
perde,03,05,06,07,08,09,10,13,15,16,18,21,22,23,25
perde,02,05,06,07,08,09,12,14,15,18,19,20,22,23,25
perde,01,02,05,06,07,08,10,11,13,14,15,20,22,23,24
perde,01,03,04,05,07,08,13,14,16,19,20,21,23,24,25
perde,01,02,03,04,06,07,08,09,15,17,19,21,22,24,25
perde,03,04,06,07,08,09,10,11,16,17,18,21,22,23,24
perde,01,04,05,08,09,10,13,17,18,19,20,21,22,24,25
perde,01,06,07,10,11,12,14,15,16,17,18,21,22,24,25
perde,01,04,06,07,09,10,15,16,17,18,19,20,22,24,25
perde,03,04,06,08,12,14,15,16,17,18,19,20,21,23,25
vence,2,4,8,9,11,12,13,14,15,18,19,21,23,24,25
perde,03,04,06,08,09,10,12,13,14,17,19,20,21,24,25
perde,02,03,04,06,07,08,09,10,12,16,17,19,21,22,25
perde,03,05,06,08,09,10,11,12,13,15,16,19,21,23,24
vence,1,6,7,8,9,10,11,13,14,15,17,19,22,23,25
perde,01,02,03,04,05,08,09,10,12,14,15,19,20,23,24
perde,01,02,03,06,07,09,10,11,12,14,15,16,18,19,22
perde,01,03,04,05,06,08,10,12,14,15,17,20,21,23,25
perde,02,03,04,06,07,08,09,10,12,13,15,18,20,21,24
perde,03,04,05,06,07,10,12,14,15,17,18,19,22,24,25
perde,01,02,03,04,07,08,09,11,12,13,17,19,20,21,23
perde,01,02,03,05,08,11,13,15,17,18,19,20,21,23,24
perde,01,02,06,07,09,11,15,16,17,18,19,21,22,23,24
perde,02,04,06,07,08,09,12,13,15,17,18,20,21,23,25
perde,02,04,05,06,08,09,11,12,16,17,18,21,22,23,25
perde,01,03,06,07,08,09,11,13,14,18,20,22,23,24,25
perde,02,03,05,07,12,13,14,16,18,19,20,21,22,23,25
perde,01,05,06,07,08,09,10,13,14,16,18,21,22,23,25
perde,01,02,03,06,07,08,10,11,17,18,20,21,23,24,25
perde,01,05,06,08,10,12,13,14,15,16,18,20,21,23,25
perde,01,02,05,06,08,09,10,11,12,14,15,17,19,21,25
perde,02,03,04,07,08,12,13,14,17,18,19,20,21,24,25
vence,2,5,7,8,10,11,13,14,15,17,20,21,23,24,25
perde,01,03,06,08,11,13,14,15,16,18,19,20,21,22,24
perde,01,02,03,05,07,08,09,10,13,15,16,20,21,24,25
vence,1,2,4,5,6,7,8,9,10,16,19,20,21,23,25
perde,02,03,04,06,09,10,11,15,16,17,18,21,22,23,25
perde,01,03,04,05,06,07,12,13,14,17,18,19,22,24,25
perde,04,05,06,07,10,11,12,14,15,16,20,21,23,24,25
perde,01,02,04,08,09,10,11,12,13,14,18,20,23,24,25
perde,01,03,04,06,07,08,10,12,13,15,16,18,20,21,24
perde,04,05,08,10,11,12,13,16,17,18,19,21,22,24,25
perde,01,02,03,05,08,10,11,14,15,17,18,20,22,23,24
perde,02,06,07,08,09,11,12,13,18,19,20,22,23,24,25
vence,1,3,5,7,8,11,12,13,15,16,18,19,20,21,24
perde,02,04,05,06,07,09,10,11,12,17,18,19,20,21,22
vence,5,7,8,9,10,11,12,14,15,16,17,19,20,21,23
perde,03,04,06,07,08,09,10,11,12,13,16,22,23,24,25
vence,3,6,7,10,11,12,13,14,15,18,19,20,21,24,25
perde,01,02,04,09,10,11,14,15,16,17,19,20,21,23,24
perde,01,02,04,06,07,08,10,11,12,13,15,19,21,23,25
perde,01,02,03,04,05,07,08,10,11,12,15,17,18,22,23
perde,02,03,04,06,07,09,10,12,14,15,16,18,19,20,23
perde,02,03,05,07,08,09,11,14,17,18,19,22,23,24,25
perde,01,02,03,05,08,09,10,13,16,17,20,21,23,24,25
vence,3,4,5,8,9,10,13,14,17,18,19,20,21,22,24
perde,01,03,04,05,06,11,13,14,16,17,19,21,22,23,24
perde,02,05,08,09,10,12,14,15,16,18,19,20,23,24,25
vence,2,3,4,7,9,10,12,13,15,16,18,21,22,24,25
perde,01,02,04,09,10,11,12,14,15,16,18,19,20,24,25
perde,01,02,03,05,07,08,09,13,15,17,18,19,21,22,23
perde,02,03,04,05,06,09,11,12,13,14,15,21,23,24,25
perde,02,04,05,07,08,09,12,14,15,16,17,20,21,23,25
perde,01,04,05,06,07,08,09,10,13,15,16,17,20,22,23
vence,2,3,4,6,7,9,10,14,15,16,17,19,20,23,25
perde,01,04,06,07,08,10,13,15,16,17,18,19,23,24,25
perde,01,05,06,08,11,13,14,16,17,18,19,20,21,22,25
perde,01,02,03,05,06,07,09,10,12,14,16,19,22,23,24
perde,01,02,03,06,07,08,09,10,13,14,17,19,20,23,25
perde,01,04,06,09,10,11,13,15,17,18,19,22,23,24,25
perde,01,02,03,06,07,08,09,11,13,14,15,17,19,20,24
perde,01,02,04,05,06,07,09,13,16,17,20,21,22,23,25
perde,01,02,05,06,07,08,09,10,11,12,13,16,20,22,24
perde,01,02,03,04,05,06,08,09,10,12,19,20,22,23,25
perde,01,05,06,07,08,11,12,14,15,19,20,21,22,23,25
perde,01,02,03,04,08,09,12,13,16,18,19,20,23,24,25
perde,01,03,05,06,08,09,10,12,13,14,16,19,21,22,25
perde,01,02,03,05,06,08,11,12,14,15,16,19,20,22,23
perde,01,02,03,04,05,07,09,10,11,13,14,15,17,18,25
vence,1,3,5,6,7,10,11,14,17,18,19,20,21,23,25
perde,01,02,03,04,06,08,09,11,12,14,19,21,23,24,25
perde,01,02,03,04,05,06,07,08,11,12,14,19,21,22,24
perde,03,04,09,10,11,12,13,15,16,17,18,20,22,24,25
perde,01,04,05,06,07,08,09,11,12,14,17,19,20,22,25
vence,2,3,4,5,6,7,9,10,11,12,13,15,17,18,21
perde,01,02,03,05,06,07,08,11,14,15,17,18,19,24,25
perde,02,06,07,08,09,11,13,14,15,17,19,21,22,24,25
perde,02,03,04,08,09,10,15,16,17,20,21,22,23,24,25
perde,04,05,07,08,10,11,13,16,17,19,20,22,23,24,25
perde,01,02,06,08,09,12,15,17,18,19,20,21,22,24,25
perde,01,04,05,06,10,12,14,15,16,17,19,20,21,22,25
vence,1,2,4,5,7,8,9,10,11,12,14,15,19,23,24
perde,01,02,03,05,06,08,09,10,12,16,18,20,22,23,25
perde,02,03,05,06,08,09,10,13,14,15,17,20,23,24,25
perde,01,02,03,04,09,12,13,14,15,16,17,18,21,24,25
vence,2,3,4,6,7,8,10,11,12,14,15,16,18,19,23
perde,02,03,04,05,08,13,14,15,16,17,18,19,21,24,25
vence,1,2,3,5,6,7,10,12,13,14,16,19,22,23,25
perde,04,05,07,09,11,12,13,15,16,18,19,20,21,23,24
perde,03,04,05,06,07,08,09,12,15,16,18,19,21,22,23
perde,03,04,05,08,09,10,11,12,15,16,17,19,20,22,25
perde,02,04,05,06,11,12,13,15,16,18,20,22,23,24,25
perde,01,02,03,05,09,13,14,15,17,19,20,21,22,23,25
vence,1,5,6,7,9,12,13,14,16,17,19,20,21,24,25
perde,01,03,04,05,06,07,08,09,11,12,13,18,21,22,25
perde,01,03,04,05,06,09,10,11,13,14,16,17,18,19,24
perde,02,03,04,08,09,10,12,15,16,17,20,21,22,24,25
vence,3,4,5,6,7,9,10,13,14,15,16,19,22,24,25
perde,01,03,06,07,09,10,11,12,14,16,18,19,21,22,25
perde,02,04,07,08,09,10,13,14,15,16,17,21,22,23,24
perde,01,02,03,05,06,08,09,14,15,16,18,19,20,23,25
perde,02,05,08,09,11,12,13,15,16,17,18,19,22,24,25
perde,01,02,03,06,07,08,09,10,14,15,17,18,19,20,23
perde,03,04,05,08,09,10,13,14,15,16,17,20,23,24,25
perde,01,04,05,06,07,09,12,14,15,16,17,18,19,20,22
perde,02,04,06,10,12,13,14,16,17,18,20,21,22,23,24
perde,02,03,06,10,11,12,13,15,16,17,18,19,20,21,25
perde,02,03,05,06,07,11,12,13,14,16,18,20,21,22,23
perde,01,02,03,08,09,11,12,14,15,16,18,19,20,23,24
perde,01,02,03,04,05,06,07,08,09,16,17,19,20,24,25
perde,01,03,06,07,08,09,11,12,13,18,20,21,22,23,25
perde,01,02,03,04,05,07,09,12,14,15,16,17,19,22,24
perde,02,05,06,07,08,09,11,13,15,18,19,20,23,24,25
perde,01,05,07,10,12,13,14,15,16,17,18,20,21,23,25
vence,1,3,4,6,7,9,12,13,14,15,16,22,23,24,25
perde,01,02,03,04,05,07,09,10,12,13,15,16,18,23,25
perde,02,03,05,06,07,08,10,11,12,13,17,20,22,23,25
vence,2,5,7,8,9,10,11,12,13,16,17,20,22,23,25
vence,1,2,3,5,7,8,10,11,12,14,17,19,21,22,23
perde,01,03,04,06,07,08,11,12,13,15,16,20,21,22,23
perde,01,05,07,09,10,11,12,14,15,17,18,21,22,24,25
perde,02,03,05,06,09,10,11,13,15,17,18,19,21,24,25
perde,01,03,04,05,07,10,13,14,15,17,20,22,23,24,25
perde,02,03,04,05,08,09,10,12,13,15,19,20,21,24,25
perde,02,07,08,09,13,14,15,16,17,18,19,20,22,24,25
perde,02,03,06,07,08,10,12,13,14,15,16,17,20,22,25
perde,01,02,04,05,07,08,09,10,12,15,17,18,21,24,25
vence,1,4,5,12,14,15,16,17,18,19,20,21,23,24,25
perde,01,03,04,07,08,09,11,12,14,16,17,18,19,20,21
vence,2,3,4,5,6,9,10,12,13,17,18,19,23,24,25
perde,01,02,03,05,07,08,09,11,13,16,17,18,20,21,22
vence,1,3,7,8,9,10,11,15,16,17,18,19,21,23,25
perde,01,02,03,07,08,09,10,12,13,14,16,18,21,23,24
perde,02,03,04,05,07,09,11,12,15,16,18,19,20,22,25
perde,01,02,03,05,06,07,08,12,13,15,18,19,20,22,23
vence,1,2,4,5,6,10,12,16,19,20,21,22,23,24,25
perde,01,04,06,08,09,12,14,15,16,17,18,21,22,24,25
perde,04,06,08,09,10,12,13,14,15,17,19,20,21,24,25
perde,01,03,05,06,08,11,12,14,16,18,19,22,23,24,25
perde,03,04,05,08,09,10,11,12,14,15,17,20,23,24,25
perde,03,04,05,06,08,09,12,14,16,19,20,21,23,24,25
perde,01,02,03,05,07,08,11,12,15,16,17,18,20,22,25
perde,03,04,05,08,09,10,11,12,13,16,18,19,21,24,25
perde,01,03,04,05,08,09,11,13,16,18,19,20,22,23,24
vence,2,3,5,8,10,11,13,16,19,20,21,22,23,24,25
perde,02,03,04,05,06,07,08,09,10,11,21,22,23,24,25
perde,01,02,03,07,08,09,10,12,14,18,20,21,23,24,25
perde,01,02,04,05,06,10,11,12,13,15,16,18,21,23,25
perde,01,02,03,07,11,12,14,17,18,19,20,22,23,24,25
perde,02,03,06,08,11,12,13,14,15,16,18,20,21,22,25
perde,01,02,03,05,06,09,12,15,16,17,18,20,22,24,25
perde,01,02,03,06,07,09,10,11,18,19,20,21,22,23,25
perde,01,02,03,04,06,07,09,10,11,16,19,20,23,24,25
perde,01,03,04,05,06,08,09,10,12,13,19,20,23,24,25
perde,02,05,06,07,08,10,11,13,15,16,18,20,21,23,24
perde,02,03,04,05,10,11,12,13,16,18,19,20,22,23,25
perde,01,02,03,05,06,07,09,11,12,15,17,18,20,22,24
perde,01,03,04,05,07,08,09,11,12,13,15,16,19,22,23
perde,01,02,03,04,06,07,10,13,15,17,20,21,23,24,25
perde,02,05,06,07,08,09,11,13,14,15,17,18,19,20,25
perde,02,03,05,08,09,12,14,16,18,19,20,21,23,24,25
perde,01,03,04,08,09,11,13,17,18,20,21,22,23,24,25
perde,01,03,08,09,11,13,14,16,17,18,19,20,22,23,25
perde,01,02,03,04,08,09,11,12,13,14,15,16,17,19,22
vence,1,2,6,7,10,11,12,15,16,17,18,20,22,24,25
perde,03,05,07,08,09,10,11,13,14,18,19,22,23,24,25
