Resultado,numero 1,numero 2,numero 3,numero 4,numero 5,numero 6
perde,01,13,15,24,43,49
vence,3,17,27,32,47,54
perde,15,18,23,36,38,44
perde,03,37,45,49,55,57
perde,04,09,16,27,38,52
perde,06,09,15,29,33,55
perde,07,09,13,22,43,53
perde,03,04,16,35,45,48
vence,22,23,34,48,53,54
perde,25,28,29,30,44,60
perde,15,18,22,46,53,54
perde,04,20,35,41,44,52
perde,25,33,38,39,45,59
perde,11,31,32,36,38,55
perde,02,18,25,36,39,59
perde,12,16,23,25,45,51
perde,08,13,32,33,44,57
perde,28,38,45,48,52,56
perde,02,09,10,15,19,24
perde,07,17,28,33,50,56
perde,03,10,24,42,50,55
perde,01,14,24,34,36,42
perde,10,15,18,24,49,51
perde,05,31,39,42,46,49
perde,01,05,10,27,34,49
perde,26,28,31,35,52,60
vence,12,19,27,39,41,45
perde,01,25,33,47,48,49
perde,04,16,22,23,41,55
perde,19,22,33,50,55,58
perde,17,19,24,35,59,60
perde,03,11,12,18,25,60
perde,17,20,25,41,58,59
vence,13,20,27,31,53,60
perde,01,38,40,41,45,56
perde,27,33,40,44,56,59
perde,24,27,28,40,42,46
perde,06,21,23,37,40,43
vence,38,42,44,52,58,60
vence,7,12,41,46,56,60
perde,11,15,19,38,47,50
perde,10,11,13,29,41,51
perde,18,19,28,49,55,60
perde,11,17,40,46,49,60
vence,4,5,15,17,27,51
perde,03,12,19,26,46,59
perde,03,13,16,32,36,44
perde,01,04,08,10,51,55
perde,03,06,28,49,54,60
perde,06,14,18,25,35,51
perde,29,37,43,45,54,58
perde,06,07,23,33,49,51
vence,4,19,27,35,40,44
perde,11,22,27,40,41,42
perde,03,13,40,44,53,57
perde,04,07,12,33,36,50
perde,21,23,31,33,43,59
perde,16,26,29,31,36,53
perde,19,20,37,49,51,53
perde,20,22,31,34,37,39
vence,3,15,28,31,39,51
vence,4,16,31,36,54,55
perde,05,46,47,49,50,56
vence,1,13,44,48,49,54
perde,01,02,24,31,36,49
vence,4,13,23,29,46,47
perde,07,10,26,28,45,56
perde,08,13,20,36,42,44
perde,04,07,12,19,48,50
perde,02,15,18,19,33,47
perde,02,05,09,25,26,36
perde,13,26,44,49,53,58
perde,01,18,30,31,34,39
perde,05,08,21,45,59,60
perde,14,23,30,39,42,55
perde,21,24,32,36,44,55
vence,8,21,24,25,52,57
perde,02,08,10,14,31,51
perde,01,09,10,18,22,48
vence,10,28,29,35,42,46
perde,01,09,16,17,43,46
perde,12,14,27,40,54,59
perde,02,24,30,31,39,58
perde,02,12,19,22,29,46
perde,06,14,24,48,49,53
perde,02,03,15,45,50,52
perde,07,15,19,31,41,55
perde,02,04,13,14,20,54
perde,43,47,48,50,53,60
perde,30,36,53,58,59,60
perde,06,10,22,23,39,59
perde,07,11,28,38,48,60
perde,14,26,27,33,55,60
perde,09,21,24,31,51,58
perde,05,10,19,21,29,50
perde,05,15,27,29,42,52
perde,07,21,37,39,52,56
perde,06,21,24,34,49,52
perde,06,30,38,43,56,60
perde,01,02,16,37,43,57
perde,06,26,27,43,44,55
perde,04,10,32,35,36,43
perde,10,17,24,25,31,37
vence,9,19,23,32,39,45
perde,01,22,23,31,43,58
perde,05,23,27,43,44,51
perde,16,18,30,33,39,40
perde,06,08,30,35,38,44
perde,05,12,21,32,49,57
perde,02,13,14,15,35,55
perde,31,37,42,46,58,59
perde,07,13,20,37,39,44
perde,08,18,21,31,52,53
perde,15,21,28,29,42,44
perde,27,32,38,42,48,54
perde,11,18,22,24,37,47
perde,02,14,25,34,53,60
perde,05,09,22,30,44,49
perde,04,29,40,42,43,55
vence,2,8,26,32,46,56
perde,07,14,43,48,56,60
perde,06,11,15,22,48,55
perde,06,17,21,25,51,59
perde,13,28,30,46,52,56
perde,03,06,24,39,45,50
vence,5,15,35,42,45,49
vence,9,12,18,31,39,50
perde,10,35,37,49,51,56
perde,18,22,44,51,53,58
perde,12,15,25,51,56,57
vence,1,6,7,29,48,57
perde,01,32,42,46,56,57
perde,01,18,34,41,43,46
perde,10,22,30,40,43,58
perde,25,31,37,41,43,48
vence,1,32,37,44,46,47
perde,17,30,31,35,53,58
perde,02,03,21,28,31,36
perde,07,14,15,23,46,59
perde,02,33,35,47,56,57
perde,14,25,27,34,36,60
perde,02,19,24,33,44,54
perde,02,08,28,33,34,53
perde,07,19,30,31,40,46
perde,11,24,30,36,38,39
perde,09,11,14,32,40,52
vence,15,30,35,39,43,57
perde,06,16,31,36,38,43
perde,07,12,27,31,56,59
perde,02,18,22,23,25,29
perde,16,25,30,44,45,57
vence,20,26,41,46,54,58
perde,04,10,28,29,51,54
perde,04,10,12,16,31,51
perde,07,20,27,34,46,55
vence,12,21,39,40,50,55
vence,10,18,31,43,57,59
perde,03,04,11,19,49,55
perde,05,14,15,29,37,52
perde,12,15,21,30,33,35
vence,4,9,31,32,42,46
vence,24,33,34,35,46,60
perde,03,05,29,51,56,59
vence,7,22,25,44,59,60
perde,13,14,44,54,56,59
perde,02,06,13,14,16,42
perde,01,03,07,37,44,45
perde,11,16,27,28,45,51
vence,4,5,7,34,42,60
vence,6,8,14,26,36,40
perde,06,14,23,31,41,52
perde,02,04,10,27,39,47
perde,12,15,34,37,46,60
perde,03,11,27,48,52,55
perde,23,30,33,35,41,59
perde,10,14,20,29,39,40
vence,4,6,39,44,52,60
perde,12,14,15,23,43,52
perde,04,14,19,42,54,58
perde,16,18,32,33,48,57
perde,05,12,17,41,45,59
perde,01,13,20,41,48,50
perde,01,17,23,42,45,46
perde,13,20,28,34,36,51
perde,04,37,46,51,52,54
vence,14,17,36,38,44,60
perde,02,13,40,47,48,51
perde,03,23,25,32,43,52
perde,18,23,36,48,51,52
perde,02,12,18,22,57,58
perde,13,19,27,40,43,56
perde,03,09,21,26,33,38
perde,14,34,37,39,46,48
perde,10,22,23,38,46,49
perde,04,12,16,23,32,49
vence,3,5,27,33,44,58
perde,01,06,14,36,43,45
perde,13,18,32,42,49,51
perde,02,20,23,26,31,41
perde,12,34,37,38,43,60
perde,27,30,33,45,46,47
perde,09,20,22,32,36,54
perde,04,26,45,47,52,57
perde,16,18,25,29,42,48
perde,08,15,18,19,35,56
perde,08,21,37,42,46,47
perde,12,19,35,36,37,49
perde,02,11,15,28,45,51
perde,05,06,15,40,42,57
perde,02,35,37,52,54,56
vence,4,10,12,14,36,46
perde,08,16,29,31,36,40
vence,12,13,24,29,32,41
perde,05,29,39,40,43,47
perde,17,30,35,42,46,56
perde,19,22,26,31,33,56
perde,03,04,18,32,39,58
vence,10,11,26,27,31,41
perde,05,09,27,33,54,56
vence,2,9,34,49,51,55
perde,08,19,32,38,50,56
perde,15,17,18,20,39,45
perde,09,15,32,42,50,57
vence,2,23,33,35,40,50
perde,03,31,41,48,50,52
perde,02,14,17,22,35,48
perde,02,10,24,42,43,56
perde,07,08,31,39,52,53
perde,09,22,24,33,53,55
perde,16,19,30,34,35,52
perde,05,17,26,29,34,57
perde,13,16,19,20,22,55
perde,01,03,12,34,46,60
perde,02,15,22,25,47,54
perde,08,09,18,39,48,60
perde,10,21,31,42,51,53
perde,03,29,37,43,49,60
perde,12,16,22,25,47,55
perde,07,16,39,44,48,51
perde,01,08,09,52,55,57
perde,10,27,37,42,56,60
perde,07,21,33,35,53,58
perde,02,05,11,12,32,45
perde,05,11,19,29,39,58
perde,03,04,34,43,47,51
perde,02,08,16,30,53,54
perde,08,15,17,22,26,28
perde,04,06,11,15,33,40
perde,06,18,20,30,32,37
perde,05,10,22,25,33,36
perde,02,17,43,47,50,52
perde,03,04,30,44,45,57
vence,18,40,47,54,57,58
perde,05,11,31,39,47,49
perde,05,07,28,29,42,51
perde,17,23,31,46,49,59
perde,04,08,13,16,24,57
perde,13,23,26,33,53,56
perde,22,31,32,39,41,42
perde,02,16,23,44,50,59
vence,8,23,30,51,53,58
perde,04,18,43,56,58,60
perde,04,09,21,29,43,54
perde,12,15,28,30,43,45
perde,04,26,33,36,49,53
perde,04,12,38,40,43,48
perde,05,13,14,24,31,37
vence,1,21,36,38,47,50
vence,4,9,17,23,28,53
vence,3,13,26,27,41,42
perde,06,11,23,25,52,57
perde,10,32,44,55,56,58
vence,9,36,37,53,55,60
perde,06,21,22,46,47,53
perde,13,14,31,34,53,58
perde,03,12,21,34,41,51
perde,10,22,25,33,40,41
perde,03,04,08,31,34,36
perde,11,14,24,33,44,59
perde,06,08,30,41,42,60
perde,09,36,39,45,46,56
perde,05,29,32,50,53,56
perde,01,02,04,31,42,49
perde,21,27,31,40,58,60
perde,01,09,10,18,31,40
perde,09,13,31,42,49,52
vence,1,6,27,46,51,59
vence,1,11,34,36,44,56
perde,17,22,33,36,40,54
perde,12,15,25,28,43,54
perde,04,07,10,28,41,57
perde,01,13,21,52,55,60
perde,03,26,31,41,45,54
vence,11,16,30,36,51,54
perde,10,35,41,43,54,56
perde,01,07,11,21,46,47
perde,18,20,21,46,47,51
vence,6,25,33,42,48,49
perde,10,11,20,39,53,59
perde,20,23,37,39,45,56
vence,6,33,34,48,53,59
perde,15,23,36,37,54,59
perde,05,22,24,25,54,56
perde,07,10,22,23,41,42
perde,32,46,48,51,54,57
perde,09,10,31,33,47,48
perde,05,12,32,42,45,58
perde,02,15,16,24,29,58
perde,21,22,23,36,42,44
perde,24,31,39,42,47,50
perde,19,27,28,31,42,50
perde,09,12,14,15,18,41
perde,07,11,32,37,46,59
perde,08,09,21,25,43,60
perde,02,26,31,49,56,57
perde,11,23,31,45,47,52
perde,02,06,32,34,46,54
perde,16,18,43,50,54,56
vence,19,29,34,41,47,48
vence,10,17,21,32,45,46
perde,12,22,27,33,34,37
perde,30,32,36,50,51,53
perde,04,12,13,25,33,51
vence,18,29,40,42,50,54
perde,02,06,12,28,34,40
perde,09,15,34,40,50,56
vence,9,16,34,37,53,57
perde,01,09,33,37,41,46
perde,11,13,26,35,49,57
perde,04,08,34,40,51,58
perde,06,21,26,29,52,56
vence,2,11,21,30,35,52
perde,13,16,20,51,52,54
perde,05,08,11,12,18,31
perde,06,20,42,45,56,57
perde,14,19,24,37,41,46
vence,13,23,27,34,38,57
vence,5,16,20,30,54,56
perde,05,11,16,27,36,43
perde,07,08,41,43,50,52
vence,6,7,9,20,33,48
perde,12,21,38,40,52,54
perde,08,26,32,34,49,51
perde,09,10,28,49,53,58
perde,07,17,25,31,43,54
perde,10,14,17,41,48,58
perde,01,03,31,35,47,59
perde,01,29,45,50,55,57
perde,16,30,33,43,53,56
perde,02,21,22,24,30,53
perde,04,19,20,22,27,31
perde,03,14,18,29,44,59
perde,14,29,42,44,53,57
perde,03,12,17,18,26,31
perde,06,09,25,30,34,59
vence,8,11,31,33,42,57
perde,05,17,19,24,51,52
perde,02,06,08,14,30,57
perde,02,03,17,38,46,52
vence,4,11,20,30,37,43
perde,09,27,31,46,47,53
perde,03,04,10,13,36,58
perde,01,32,47,51,53,56
perde,20,29,32,37,38,40
perde,04,27,32,45,48,54
perde,05,06,19,46,50,54
perde,08,10,19,26,31,59
perde,02,18,23,36,50,53
vence,6,17,33,48,50,57
perde,03,16,23,34,43,45
perde,08,11,14,19,36,48
perde,25,29,34,36,43,51
vence,18,23,37,39,50,55
perde,01,12,15,21,51,60
vence,9,21,26,40,52,54
perde,04,12,15,28,39,50
perde,03,12,40,51,52,55
perde,03,12,27,30,53,55
perde,12,15,20,25,38,51
perde,05,18,24,30,52,57
vence,6,10,15,24,38,39
perde,11,12,13,37,43,47
vence,14,16,23,30,45,60
perde,15,28,34,37,47,54
perde,19,26,31,32,35,48
perde,02,14,26,29,36,49
perde,02,13,45,48,57,60
vence,5,6,34,46,53,55
perde,06,27,40,48,50,54
vence,1,4,6,8,25,28
perde,02,06,09,10,11,22
perde,01,04,05,27,33,44
perde,19,24,26,47,52,58
perde,20,24,36,45,49,60
vence,7,8,17,35,39,53
perde,08,31,37,38,50,52
perde,04,05,06,12,25,44
vence,8,14,27,34,52,54
perde,11,24,29,43,52,56
perde,04,07,18,36,55,58
perde,04,15,27,42,49,53
perde,17,19,36,38,44,48
perde,06,18,25,39,47,58
perde,20,21,22,25,45,53
perde,04,09,17,24,34,60
perde,07,10,17,27,53,60
vence,2,16,17,18,41,47
perde,02,04,29,41,49,51
perde,11,19,25,42,49,52
vence,3,23,42,43,47,60
perde,12,14,26,28,48,52
vence,12,22,25,31,32,46
vence,4,8,11,12,29,44
perde,21,27,30,32,51,52
perde,10,13,14,49,58,59
perde,14,26,32,34,38,49
perde,11,14,28,31,54,60
vence,2,3,12,21,23,56
vence,2,26,40,42,49,56
perde,03,11,20,27,55,56
perde,05,06,09,49,54,60
vence,12,24,32,40,42,59
perde,10,22,25,30,34,54
perde,01,20,29,36,37,57
perde,07,08,15,33,50,59
perde,05,08,10,22,26,50
perde,01,03,15,22,25,46
perde,01,25,28,31,42,46
perde,10,19,22,43,47,50
perde,16,17,18,43,52,60
perde,27,29,34,40,55,57
perde,03,07,36,43,51,56
vence,25,30,37,46,49,51
perde,09,12,14,20,37,60
perde,13,45,51,52,53,54
perde,01,10,16,20,27,31
perde,01,14,16,29,52,54
perde,08,11,47,49,50,57
perde,10,11,13,29,37,50
perde,01,05,07,19,36,46
vence,5,8,23,32,33,56
perde,20,35,39,49,57,58
perde,04,06,11,30,37,51
perde,12,16,18,24,33,55
perde,06,27,35,39,55,60
vence,5,16,17,18,22,41
vence,16,32,36,42,44,48
perde,02,16,29,46,48,54
perde,18,20,32,36,38,45
perde,15,25,29,40,53,55
perde,08,13,16,35,43,53
perde,05,22,24,29,41,59
perde,19,22,23,28,31,44
perde,04,07,16,20,31,49
perde,10,25,26,45,59,60
vence,14,23,29,41,57,58
perde,08,14,15,21,40,47
perde,21,33,35,45,53,57
perde,02,09,30,47,51,53
perde,05,22,25,42,43,48
perde,02,03,12,34,50,55
vence,1,2,38,41,42,58
perde,10,15,21,24,35,47
perde,03,16,20,30,50,52
perde,06,20,33,39,40,43
perde,03,12,13,17,33,43
vence,9,10,23,33,44,51
perde,03,08,21,26,31,54
perde,01,05,09,25,36,51
perde,06,09,21,33,44,45
perde,06,08,10,27,42,57
perde,07,10,15,26,28,49
perde,03,08,21,32,40,45
perde,03,09,13,19,23,29
perde,08,10,13,23,35,47
perde,03,13,29,42,44,50
perde,21,25,32,50,51,54
perde,14,22,26,28,34,35
perde,24,28,29,36,40,50
perde,03,04,16,29,40,52
perde,01,06,13,22,49,59
perde,07,11,17,29,42,51
perde,13,22,35,48,56,59
perde,09,11,14,48,52,53
vence,6,22,43,51,52,57
perde,12,25,44,52,55,59
vence,8,27,36,41,53,56
perde,04,08,11,28,51,58
perde,04,20,25,30,36,54
perde,07,14,24,28,57,59
perde,12,14,21,24,30,44
perde,09,29,30,47,49,50
perde,08,21,27,39,43,44
perde,26,43,48,49,51,52
perde,20,37,41,42,43,53
perde,20,22,36,43,45,52
perde,16,30,32,43,51,58
vence,11,17,24,39,46,49
vence,22,27,29,40,42,56
vence,11,31,38,41,57,58
perde,06,12,15,41,44,47
perde,01,17,44,48,49,58
perde,11,16,43,50,52,53
perde,33,34,45,51,52,56
vence,5,15,18,19,21,38
vence,6,16,23,24,28,38
perde,13,21,36,45,53,58
perde,03,15,17,35,45,58
perde,02,24,25,34,44,47
vence,17,18,35,36,47,52
perde,04,07,30,47,50,55
perde,05,06,16,51,53,60
perde,02,05,09,21,54,55
perde,13,23,26,27,38,60
perde,12,21,41,43,49,55
perde,02,04,05,17,18,29
perde,01,15,21,33,48,52
perde,09,18,20,25,36,60
perde,20,36,43,46,51,59
perde,09,33,35,40,41,49
perde,09,15,37,38,44,53
perde,12,16,20,32,44,54
perde,04,06,08,26,39,43
vence,31,36,38,41,42,49
perde,04,15,18,25,48,53
perde,03,09,18,27,39,50
perde,22,34,38,40,44,57
perde,07,28,30,45,54,57
perde,05,12,14,24,36,39
perde,12,15,28,37,44,56
perde,07,18,23,30,43,44
perde,01,07,31,44,55,57
vence,7,8,18,22,39,49
vence,24,46,50,51,52,56
perde,04,11,12,26,37,56
perde,36,37,39,40,50,52
vence,17,19,32,43,48,51
perde,10,26,44,48,51,52
perde,02,29,30,33,40,48
perde,07,27,32,37,47,58
perde,07,31,41,53,57,60
perde,09,19,22,27,42,50
perde,10,17,22,39,43,53
perde,10,21,26,32,44,58
perde,07,11,13,20,23,44
vence,7,20,33,37,46,56
perde,31,33,42,45,50,52
vence,6,17,22,29,40,59
perde,02,05,18,19,44,48
perde,12,15,26,38,55,60
perde,14,24,29,37,45,56
perde,09,31,40,41,49,50
perde,22,26,30,31,46,50
vence,5,10,39,42,46,54
perde,09,16,31,34,51,56
vence,2,12,40,46,52,53
perde,17,27,45,53,55,57
perde,10,25,28,31,36,46
perde,09,13,25,34,49,50
perde,16,17,36,37,54,56
perde,02,06,18,24,34,55
perde,06,15,28,30,39,44
perde,09,29,30,38,41,50
perde,04,14,21,22,48,51
perde,01,13,29,31,43,55
perde,10,12,24,26,44,59
perde,14,27,30,31,41,53
perde,04,11,12,14,15,27
perde,01,04,39,42,45,50
perde,02,14,19,33,37,58
perde,08,28,37,42,46,47
perde,07,22,34,46,50,59
perde,06,21,47,49,51,57
perde,12,15,20,40,48,60
perde,12,18,25,26,31,60
perde,16,25,31,36,48,60
perde,11,12,29,42,54,59
perde,16,27,34,37,49,57
perde,13,25,33,47,52,54
perde,28,31,44,45,48,51
perde,05,08,09,20,45,60
vence,5,22,23,24,34,60
perde,05,22,36,38,45,59
perde,02,29,33,47,55,56
perde,03,08,09,15,25,28
vence,5,16,34,38,50,53
perde,03,06,08,31,47,57
perde,17,22,27,32,42,54
vence,22,27,33,42,58,59
perde,04,10,12,15,44,48
perde,06,23,35,47,49,53
perde,08,23,28,32,37,43
perde,06,20,25,26,33,46
perde,04,11,23,40,44,57
vence,10,31,40,50,55,56
perde,04,08,10,18,51,57
perde,07,11,17,31,49,54
vence,5,29,30,36,41,48
perde,09,13,21,37,49,51
perde,06,30,37,45,55,57
perde,05,07,20,25,35,36
vence,8,28,36,47,50,58
perde,22,26,29,44,51,60
perde,04,08,12,23,27,58
perde,15,18,19,23,34,46
perde,07,18,40,45,53,57
vence,4,13,25,40,53,57
perde,05,11,13,20,34,55
perde,15,25,30,36,58,60
perde,12,15,22,27,44,51
perde,08,10,40,42,55,57
vence,14,19,20,40,48,52
perde,16,24,34,40,53,60
perde,12,17,28,33,41,58
perde,12,23,28,41,48,58
perde,03,14,30,40,49,58
perde,01,11,23,49,52,58
vence,8,18,29,42,44,59
perde,05,06,16,20,40,47
perde,11,17,18,27,29,40
perde,12,23,25,27,29,46
perde,07,12,22,26,40,60
vence,9,13,21,27,36,56
perde,06,11,14,28,40,58
perde,02,04,09,38,39,56
vence,16,27,36,42,44,59
vence,4,6,13,34,37,51
perde,01,18,22,40,44,54
perde,02,06,21,25,39,44
perde,01,07,27,48,49,56
perde,08,33,44,53,57,58
perde,04,26,28,34,39,46
perde,20,24,31,45,47,51
perde,03,07,13,22,36,55
perde,10,16,25,27,35,46
vence,5,11,15,28,43,50
perde,12,22,24,33,40,51
perde,10,12,22,23,39,43
perde,05,16,24,39,51,60
perde,13,14,19,38,43,57
vence,27,28,29,32,48,55
perde,09,12,38,40,47,57
perde,17,24,27,29,54,56
vence,9,17,18,32,53,55
perde,01,10,29,30,33,37
perde,08,09,27,38,43,48
perde,17,18,20,22,54,56
perde,02,03,28,30,32,33
perde,29,31,34,39,43,52
perde,13,15,21,22,42,51
perde,04,11,21,31,44,47
perde,31,32,44,46,51,60
perde,02,03,13,25,27,40
perde,10,20,25,43,46,55
perde,01,04,13,33,42,51
perde,26,29,38,53,57,59
vence,11,15,23,25,34,53
perde,01,07,11,33,38,56
vence,9,11,21,49,53,54
vence,4,6,9,23,45,51
vence,6,14,17,26,40,49
perde,02,08,11,12,23,38
vence,6,10,24,29,43,55
perde,12,18,28,54,58,59
perde,04,15,20,23,43,55
perde,23,30,31,41,48,52
perde,13,15,28,34,35,49
perde,10,18,22,38,39,40
perde,09,12,35,37,38,58
perde,07,14,15,18,23,43
perde,02,09,27,30,33,50
perde,01,03,05,10,27,45
perde,01,02,27,30,43,53
vence,4,5,16,18,27,51
perde,20,28,34,38,49,56
perde,17,24,27,32,37,39
perde,04,09,20,29,33,37
vence,13,14,36,53,55,60
perde,05,09,12,26,49,54
perde,08,12,33,36,57,59
vence,3,14,23,25,36,55
perde,02,05,06,25,31,51
perde,20,22,31,45,51,53
perde,22,26,37,44,50,54
perde,03,24,28,47,48,49
perde,02,31,41,45,47,58
perde,07,13,14,21,29,32
perde,11,15,24,28,40,42
perde,04,08,13,29,35,57
perde,01,02,05,16,17,52
vence,10,26,28,51,53,59
perde,28,31,34,39,49,53
perde,19,25,26,40,42,60
perde,22,32,33,36,37,44
vence,7,9,13,39,45,47
perde,01,11,16,17,18,19
perde,19,24,28,33,36,43
perde,01,05,06,29,45,48
vence,7,8,10,12,27,56
perde,06,18,24,33,52,57
perde,18,28,33,36,46,54
perde,08,36,41,45,48,56
perde,03,05,13,23,45,55
perde,03,08,27,41,44,49
vence,2,14,22,23,37,60
perde,01,20,41,42,43,51
vence,7,22,32,36,38,51
perde,18,36,37,40,44,59
perde,22,27,29,36,49,54
perde,01,21,33,34,57,59
vence,7,8,11,39,43,50
perde,14,15,17,24,42,57
perde,02,18,27,38,56,60
perde,06,18,21,26,37,46
perde,02,06,07,22,35,60
vence,2,15,26,27,30,52
perde,10,18,21,24,35,46
perde,01,14,15,24,38,50
perde,09,37,42,43,50,54
perde,16,33,34,35,36,47
perde,15,26,39,42,52,56
perde,01,07,25,45,51,56
perde,07,09,24,33,35,53
perde,04,33,47,49,51,54
perde,26,27,35,42,50,57
vence,6,15,19,37,39,53
perde,12,13,28,33,40,53
perde,17,33,37,39,45,53
perde,09,17,37,40,49,52
perde,05,34,38,42,46,57
perde,18,23,27,39,49,59
perde,10,30,38,40,46,55
perde,03,19,24,29,34,44
perde,04,18,28,29,41,44
perde,16,21,32,45,52,59
vence,1,10,17,18,45,48
perde,17,24,27,32,40,50
